"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"59",-4,-1.19792573741876,-0.170216775146664,24.2656954721272,-0.170216775146664,-1.0277089622721,-0.875653720248894,0.0430934180400712,-2.69098666249508,-0.0247244388848715
"60",-3.8,-1.24442332413309,-0.185786656233311,25.0121119946197,-0.185786656233311,-1.05863666789978,0.0347523795329497,0.0291720487118039,-3.23837849557514,-0.0306969243831589
"61",-3.8,-1.08367532058911,-0.140707214180518,24.5527167790464,-0.140707214180518,-0.942968106408596,-0.391833852610376,0.0253265437601127,-7.57617352048712,0.0883258914679371
"62",-3.4,-1.13181282700377,-0.123532563554722,22.0645086515162,-0.123532563554722,-1.00828026344905,-0.152520394762488,0.0536496837838324,-4.09655367869256,0.00272275003439452
"63",-4.1,-1.04656017085864,-0.0986788070387225,23.00995898072,-0.0986788070387225,-0.947881363819917,-0.129244236627158,0.0285757532277335,-4.53698753767791,-0.0120947945046134
"64",-4.5,-0.883156490734756,-0.160047546044935,22.8579028316052,-0.160047546044935,-0.723108944689821,0.0816935485869991,0.061505976575013,-4.072439612407,-0.008190004181216
"65",-3.4,-1.16912310984473,-0.184417252552523,25.1322108203102,-0.184417252552523,-0.984705857292205,-0.32091954840082,0.0198149676127428,-3.97089920024863,-0.0135155773103673
"66",-3.1,-1.21881953548191,-0.164355417765952,25.3530746428664,-0.164355417765952,-1.05446411771596,-0.772503940735869,0.0194512993215031,-2.70390645207858,-0.0639012712469444
"67",-2.6,-0.955249045915215,-0.214926309772083,22.8585344396994,-0.214926309772083,-0.740322736143132,-0.0317114802150233,0.049047396035936,4.37025483502649,-0.262432059491588
"68",-3.9,-1.12891701140214,-0.20533513008293,25.5663777335502,-0.20533513008293,-0.923581881319212,-0.809622751502326,0.0274625537104095,-5.89322662044987,0.0593321732561066
"69",-4.2,-1.01391978504064,-0.158888011102703,24.123652050862,-0.158888011102703,-0.855031773937936,-0.878712825271497,0.0390292319741296,-7.85864793976722,0.117239635815503
"70",-4.1,-0.773359718266119,-0.14843271080477,23.1955322748578,-0.14843271080477,-0.62492700746135,-0.33967716088472,0.0277651319091507,2.15727220707687,-0.216493887327852
"71",-4.9,-1.10111517067733,-0.179611890173462,24.9116980051525,-0.179611890173462,-0.921503280503873,-0.726866205888688,0.0504348390655629,-7.4679899730615,0.0957193493462035
"72",-3.5,-1.49135912336477,-0.153743849704827,23.7786756969698,-0.153743849704827,-1.33761527365995,0.148649415991037,0.0653241875549347,-10.5040217805906,0.172926931931365
"73",-4.5,-0.804134698898231,-0.157701938608789,22.5154814219474,-0.157701938608789,-0.646432760289441,0.337128341038491,0.0457096968448609,-4.24810861505861,-0.0226086581130439
"74",-4,-1.14486147268587,-0.143639603407682,22.902765002404,-0.143639603407682,-1.00122186927819,0.372252990211931,0.059703909110163,-2.87809385521412,-0.0578824869936271
"75",-3.8,-1.3576784337881,-0.136923275735079,24.1213338195021,-0.136923275735079,-1.22075515805302,-0.575608659205849,0.0499058113630975,-9.83807947573649,0.168520358414209
"76",-3.9,-0.934186557212195,-0.157054995589024,23.5778060426874,-0.157054995589024,-0.777131561623171,-0.0828403575264213,0.03585483715516,-1.84106273909214,-0.0929111660912361
"77",-4,-0.954457351907427,-0.154786072659306,24.2722030638598,-0.154786072659306,-0.799671279248121,-0.740607695081373,0.0252590168541028,-4.36719551296567,0.00419301533872933
"78",-5.2,-1.01976178392665,-0.136974645896266,23.905997167352,-0.136974645896266,-0.882787138030385,0.217064162947796,0.0484917866524033,-4.96877632671366,-0.0152364576794384
"79",-3.9,-0.823543546597776,-0.146314050405792,22.641055377416,-0.146314050405792,-0.677229496191983,-0.693530786067201,0.0457624816421597,-3.74114529023985,-0.017213078704258
"80",-4,-0.96322223286697,-0.203688268744595,23.5975150288831,-0.203688268744595,-0.759533964122376,0.0165570238432859,0.0454666871290965,-3.65088503079359,-0.0066417538077761
"81",-3.3,-1.25747296996264,-0.197802583378602,26.3625901452807,-0.197802583378602,-1.05967038658404,-1.18606702353902,0.0151561807320419,-7.75083886061532,0.123540265187923
"82",-4.4,-1.24047686954743,-0.183673032184024,25.5913805678084,-0.183673032184024,-1.05680383736341,-0.171216609075665,0.0427792816263523,-7.27615909983583,0.0924682866267309
"83",-3.8,-1.2297472833909,-0.149721468369087,22.4197484699443,-0.149721468369087,-1.08002581502182,-0.354761712634023,0.0748695366225746,-10.2072057050732,0.195344294002853
"84",-3.8,-1.02483462644883,-0.157280258081114,24.3996656728065,-0.157280258081114,-0.867554368367717,-1.09731602900851,0.0332115491177199,-4.93651707335748,0.0131034481567672
"85",-2.6,-1.09564469766163,-0.141445331671365,24.1634956878457,-0.141445331671365,-0.954199365990269,-1.19749943101008,0.00602353216230056,-4.73502990747205,0.0249558337191083
"86",-3.8,-1.09033083846011,-0.165338034053888,25.5280383169122,-0.165338034053888,-0.924992804406224,-1.0818679056805,0.0159907921667779,-1.37399472125518,-0.0808095315356392
